id,lon,lat,country
CXEG,-113.606,53.307,CAN
CXEC,-113.517,53.573,CAN
CXEA,-93.221,50.631,CAN
CXDW,-98.319,49.4,CAN
CXDK,-124.468,61.257,CAN
CXDI,-80.545,42.864,CAN
CXDE,-123.434,65.209,CAN
CXDB,-112.808,49.048,CAN
CXCP,-113.35,50.281,CAN
CXCK,-136.192,62.115,CAN
CXCA,-88.344,49.154,CAN
CXBR,-113.819,49.62,CAN
CXBO,-71.197,46.837,
CXBK,-104.71,50.201,CAN
CXBI,-79.546,44.484,CAN
CXAT,-85.033,73.006,CAN
CXAG,-112.279,53.917,CAN
CWZW,-132.733,60.167,CAN
CWZV,-131.016,51.936,
CWZQ,-61.049,46.547,
CWZO,-123.265,48.568,
CWZN,-55.795,47.368,
CWZL,-131.602,53.03,
CWZG,-115.552,51.194,CAN
CWZA,-121.759,49.244,CAN
CWYY,-119.441,49.028,CAN
CWYL,-116.345,51.443,CAN
CWYJ,-123.305,48.457,CAN
CWXL,-111.45,49.734,CAN
CWXI,-57.096,51.022,
CWXC,-71.032,48.894,CAN
CWXA,-115.066,51.083,CAN
CWWZ,-79.218,43.244,CAN
CWWS,-97.616,52.819,CAN
CWWL,-130.638,53.493,
CWWK,-122.784,49.018,CAN
CWWF,-103.801,49.695,CAN
CWWE,-64.662,43.989,
CWWB,-79.791,43.302,CAN
CWWA,-123.193,49.347,CAN
CWVU,-66.342,44.287,
CWVT,-108.421,55.841,CAN
CWVQ,-73.929,45.427,CAN
CWVP,-109.514,49.64,CAN
CWVN,-107.586,49.058,CAN
CWVI,-112.098,53.505,CAN
CWVF,-123.303,49.106,
CWUX,-70.92,48.298,CAN
CWUS,-119.649,49.563,CAN
CWTY,-72.516,46.354,CAN
CWTT,-72.17,45.27,CAN
CWTN,-70.781,47.079,CAN
CWTG,-67.381,49.317,
CWTA,-73.579,45.506,CAN
CWSW,-114.881,49.834,CAN
CWST,-70.03,47.354,CAN
CWSS,-67.253,45.21,CAN
CWSR,-107.553,53.368,CAN
CWSL,-119.291,50.703,CAN
CWSK,-123.161,49.783,CAN
CWSG,-66.655,49.109,
CWSF,-65.325,49.251,CAN
CWSD,-63.837,46.441,CAN
CWSA,-60.002,43.933,
CWRZ,-64.317,48.419,
CWRY,-112.051,49.133,CAN
CWRU,-127.941,50.112,
CWRT,-114.482,49.628,CAN
CWRO,-131.66,54.161,
CWRN,-60.98,45.347,
CWRM,-114.907,52.431,CAN
CWRK,-77.879,45.072,CAN
CWRJ,-107.924,51.565,CAN
CWRA,-53.073,46.659,
CWQV,-70.116,48.26,
CWQR,-64.207,50.221,
CWQP,-77.153,43.84,CAN
CWQO,-68.893,48.416,
CWQK,-123.531,48.298,
CWQH,-71.824,45.369,CAN
CWPZ,-125.959,54.383,CAN
CWPR,-120.514,49.468,CAN
CWPO,-98.905,49.191,CAN
CWPK,-74.624,47.922,CAN
CWPE,-66.459,45.058,
CWPD,-71.229,47.562,CAN
CWPC,-79.253,42.868,CAN
CWOY,-104.2,51.767,CAN
CWOD,-72.546,48.842,CAN
CWOC,-65.332,48.012,CAN
CWNZ,-84.164,49.747,CAN
CWNQ,-72.657,46.226,CAN
CWNP,-117.817,50.269,CAN
CWNM,-117.305,49.491,CAN
CWNK,-98.03,49.498,CAN
CWNH,-69.548,47.806,CAN
CWND,-135.445,69.632,
CWNC,-78.165,43.951,CAN
CWMZ,-80.367,45.033,CAN
CWMT,-117.245,63.134,CAN
CWMQ,-109.466,49.903,CAN
CWMM,-122.69,49.208,CAN
CWMJ,-75.992,46.275,CAN
CWME,-127.471,52.187,
CWLS,-80.74,43.983,CAN
CWLP,-127.632,50.94,
CWLM,-123.325,48.413,CAN
CWLE,-107.143,50.951,CAN
CWLC,-130.609,54.296,
CWLB,-112.024,54.769,CAN
CWKX,-130.011,58.429,CAN
CWKO,-105.979,49.168,CAN
CWKK,-88.332,49.713,CAN
CWKH,-123.542,48.568,CAN
CWKG,-65.203,44.432,CAN
CWKD,-71.013,50.729,CAN
CWJX,-109.501,50.876,CAN
CWJW,-118.03,52.926,CAN
CWJV,-119.194,50.223,CAN
CWJU,-133.058,54.255,
CWJT,-74.556,46.08,CAN
CWJR,-116.483,49.04,CAN
CWJI,-105.946,49.729,CAN
CWJH,-103.283,56.333,CAN
CWJC,-100.884,61.132,CAN
CWJB,-71.288,46.781,CAN
CWIZ,-73.35,45.294,CAN
CWIW,-105.4,51.667,CAN
CWIT,-73.678,45.167,CAN
CWIS,-70.637,47.284,CAN
CWIP,-66.434,50.162,
CWIK,-102.567,50.366,CAN
CWIJ,-111.246,65.756,CAN
CWII,-96.562,50.695,CAN
CWIG,-70.533,47.074,
CWID,-117.605,61.317,CAN
CWHV,-70.785,46.205,CAN
CWHT,-137.581,60.773,CAN
CWHQ,-71.972,46.691,CAN
CWHL,-130.361,54.172,
CWGZ,-82.902,76.423,CAN
CWGY,-110.206,51.67,CAN
CWGW,-114.884,49.745,CAN
CWGT,-124.435,49.487,
CWGR,-61.775,47.425,
CWGM,-113.806,49.133,CAN
CWGL,-79.218,44.55,CAN
CWGD,-81.712,43.765,CAN
CWGB,-124.149,49.336,
CWFQ,-72.861,45.05,CAN
CWFJ,-113.278,49.2,CAN
CWFF,-104.601,52.817,CAN
CWEZ,-123.046,48.783,
CWEW,-73.435,45.809,CAN
CWEU,-85.934,79.989,CAN
CWER,-70.808,46.997,
CWEQ,-101.233,52.115,CAN
CWEP,-61.988,46.46,
CWEL,-123.808,49.209,
CWEK,-130.698,54.58,
CWEH,-108.989,49.438,CAN
CWEF,-60.141,47.226,
CWEE,-73.356,49.279,CAN
CWEB,-126.543,49.383,CAN
CWDZ,-112.677,51.445,CAN
CWDV,-90.467,49.033,CAN
CWDQ,-72.788,47.415,CAN
CWDO,-54.8,49.688,
CWDM,-59.64,50.465,
CWDK,-113.631,50.006,CAN
CWDJ,-104.58,50.408,CAN
CWDC,-108.487,59.56,CAN
CWDA,-56.113,50.721,
CWCT,-111.448,52.074,CAN
CWCJ,-86.295,48.588,CAN
CWCI,-85.807,47.341,CAN
CWCF,-97.022,52.36,CAN
CWBZ,-74.289,45.121,CAN
CWBY,-64.293,49.839,CAN
CWBV,-62.338,44.825,
CWBU,-104.005,53.333,CAN
CWBT,-64.226,50.271,CAN
CWBS,-72.916,46.189,CAN
CWBO,-111.849,50.55,CAN
CWBK,-62.681,45.764,CAN
CWBA,-79.101,46.71,CAN
CWAV,-114.681,51.777,CAN
CWAR,-53.993,47.294,
CWAQ,-105.483,49.05,CAN
CWAF,-69.556,48.069,
CWAE,-122.955,50.129,CAN
CTRA,-93.733,49.664,CAN
CTNK,-78.266,45.533,CAN
CTCK,-74.963,45.251,CAN
CPSV,-110.915,49.92,CAN
CPST,-113.27,51.02,CAN
CPRY,-112.674,49.488,CAN
CPRO,-112.06,50.826,CAN
CPFI,-112.037,49.805,CAN
CMGB,-72.774,45.373,CAN
CMFM,-71.148,47.323,CAN
CERM,-68.325,47.417,CAN
CBBC,-128.154,52.181,CAN
CAHR,-63.17,46.344,CAN
BIVM,-20.278,63.424,
BIRK,-21.941,64.129,ISL
BIIS,-23.143,66.056,ISL
BIHN,-15.227,64.301,
BIEG,-14.409,65.275,ISL
BIAR,-18.069,65.655,
ANYN,166.919,-0.547,NRU
KOXD,-84.7838,39.5047,USA
KNOZ,-114.512,32.55,USA
KNGU,-76.281,36.937,USA
KAID,-85.6097,40.1061,USA
KROG,-94.1078,36.3749,USA
KPRN,-86.6141,31.8467,USA
KOXR,-119.204,34.2001,USA
KMRH,-76.6566,34.7326,
KMEI,-88.7507,32.3348,USA
KEUF,-85.1312,31.9516,USA
KBKF,-104.758,39.713,USA
KBCR,-85.6043,30.8432,USA
KAPG,-76.166,39.474,USA
K0J4,-86.3119,31.0447,USA
PKMR,171.383,7.09,
PHNG,-157.763,21.45,
MMPG,-100.541,28.63,MEX
MMCB,-99.265,18.83,MEX
KPVG,-76.452,36.7824,USA
KNYL,-114.608,32.66,USA
KFLG,-111.666,35.1443,USA
KCIC,-121.858,39.7988,USA
PAAD,-146.29,70.136,USA
TJSJ,-66.0107,18.4326,PRI
ROTM,127.754,26.271,JPN
RJOI,132.236,34.144,JPN
PPIT,-162.443,60.905,USA
PFWS,-157.005,58.704,USA
PFNO,-161.024,66.819,USA
PFKT,-166.479,65.33,
PFEL,-162.272,64.616,
PFCL,-158.526,58.837,USA
PAZK,-147.169,61.938,USA
PAWG,-132.377,56.486,
PAVD,-146.251,61.133,USA
PAVA,-165.604,61.537,USA
PAUN,-160.794,63.885,
PATG,-160.398,59.051,
PASK,-159.991,66.599,USA
PASH,-166.084,66.252,
PARY,-155.463,64.731,USA
PAQH,-161.842,59.751,USA
PAPM,-161.82,59.011,
PAPG,-132.935,56.805,USA
PAOO,-165.089,60.537,USA
PANW,-157.325,59.451,USA
PANU,-158.075,64.7304,USA
PANA,-161.978,60.694,
PAMO,-163.686,62.095,USA
PAMK,-162.115,63.484,USA
